All Possible Fields,Application-GF-Fields.pdf,AffordableHousing_Application sales-Fields.pdf,Application-PCV-Fields.pdf,Avalon Princeton - Preliminary Application Rev-Mar-2016-Fields.pdf
address,assetAccountType1,assetAccountType1,name,assetAccountType1
applicantSignature,assetAccountType2,assetAccountType2,address,assetAccountType2
applicantSignatureDate,assetAccountType3,assetAccountType3,city,assetAccountType3
assetAccountType1,assetAccountType4,address,state,assetAccountType4
assetAccountType2,address,applicantSignature,zip,address
assetAccountType3,applicantSignature,applicantSignatureDate,phone,applicantSignatureDate
assetAccountType4,applicantSignatureDate,assetAmount1,cell,applicantSignature
assetAmount1,assetAmount1,assetAmount2,work,assetAmount1
assetAmount2,assetAmount2,assetAmount3,asset1,assetAmount2
assetAmount3,assetAmount3,cell,accountType1,assetAmount3
assetAmount4,assetAmount4,city,asset2,assetAmount4
cell,cell,coApplicantDate,accountType2,cell
city,city,coApplicantSignature,asset3,city
coApplicantDate,coApplicantSignature,creditCardName1,accountType3,coApplicantSignatureDate1
coApplicantSignature,coApplicantSignatureDate,creditCardName2,asset4,coApplicantSignatureDate2
coApplicantSignature1,driversLicenseNumber1,creditCardName3,accountType4,coApplicantSignature1
coApplicantSignature2,driversLicenseNumber2,creditCardName4,member1,coApplicantSignature2
coApplicantSignatureDate,driversLicenseNumber3,driversLicenseNumber1,member2,driversLicenseNumber1
coApplicantSignatureDate1,driversLicenseState1,driversLicenseNumber2,member4,driversLicenseNumber2
coApplicantSignatureDate2,driversLicenseState2,driversLicenseNumber3,member3,driversLicenseNumber3
creditCardName1,driversLicenseState3,driversLicenseState1,member6,driversLicenseState1
creditCardName2,email,driversLicenseState2,member5,driversLicenseState2
creditCardName3,memberGrossAnnualIncome1,driversLicenseState3,memberRelationship1,driversLicenseState3
creditCardName4,memberGrossAnnualIncome2,lastPaymentDate1,memberRelationship2,hasAsianPacificEthnicity
driversLicenseNumber1,memberGrossAnnualIncome3,lastPaymentDate2,memberRelationship3,hasBlackEthnicity
driversLicenseNumber2,memberGrossAnnualIncome4,lastPaymentDate3,memberRelationship4,hasIndianAsianEthnicity
driversLicenseNumber3,memberGrossAnnualIncome5,lastPaymentDate4,memberRelationship5,hasIslanderEthnicity
driversLicenseState1,willJoinHabitat,lenderName1,memberRelationship6,hasWhiteEthnicity
driversLicenseState2,hasAsianPacificEthnicity,lenderName2,memberDOB1,isHispanic
driversLicenseState3,hasBlackEthnicity,lenderName3,memberDOB2,isNonHispanic
email,hasBothPreference,lenderName4,memberDOB3,member1
extraIncomeAmount1,hasBuyPreference,loanBalance1,memberDOB4,member2
extraIncomeAmount2,hasHispanicEthnicity,loanBalance2,memberDOB5,member3
extraIncomeAmount3,hasIndianAsianEthnicity,loanBalance3,memberDOB6,member4
extraIncomeAmount4,hasIslanderEthnicity,loanBalance4,memberSex1,member5
extraIncomeFrequency1,hasNonHispanicEthnicity,loanType1,memberSex2,member6
extraIncomeFrequency2,hasntSexOffense,loanType2,memberSex3,memberDOB1
extraIncomeFrequency3,hasntSpecialNeeds,loanType3,memberSex4,memberDOB2
extraIncomeFrequency4,hasOtherEthnicity,member1,memberSex5,memberDOB3
extraIncomeSource1,hasRentPreference,member2,memberSex6,memberDOB4
extraIncomeSource2,hasSexOffense,member3,memberSSN1,memberDOB5
extraIncomeSource3,hasSpecialNeeds,member4,memberSSN2,memberDOB6
extraIncomeSource4,hasWhiteEthnicity,member5,memberSSN3,memberEmployer1
hasAsianPacificEthnicity,home,memberDOB1,memberSSN4,memberEmployer2
hasBlackEthnicity,member1,memberDOB2,memberSSN5,memberEmployer3
hasBothPreference,member2,memberDOB3,memberSSN6,memberEmployer4
hasBuyPreference,member3,memberDOB4,memberName1,memberEmployer5
hasHispanicEthnicity,member4,memberDOB5,memberName2,memberEmploymentDuration1
hasIndianAsianEthnicity,member5,memberEmployer1,memberName4,memberEmploymentDuration2
hasIslanderEthnicity,member6,memberEmployer2,memberName3,memberEmploymentDuration3
hasNonHispanicEthnicity,name,memberEmployer3,memberName5,memberEmploymentDuration4
hasntSexOffense,sexOffenseDate,memberEmployer4,memberEmployer1,memberEmploymentDuration5
hasntSpecialNeeds,sexOffenseName,memberEmployer5,memberEmployer2,memberGrossAnnualIncome1
hasOtherEthnicity,sexOffenseState,memberEmploymentDuration1,memberEmployer4,memberGrossAnnualIncome2
hasRentPreference,specialNeedsDescription,memberEmploymentDuration2,memberEmployer3,memberGrossAnnualIncome3
hasSexOffense,state,memberEmploymentDuration3,memberEmployer5,memberGrossAnnualIncome4
